IDUnico,FuenteAPI,TerminoBusqueda,Titulo,TituloNormalizado,Resumen,ResumenNormalizado,ResumenEjecutivo,Aplicabilidad,RecomendacionUso,AreaTematica,NivelEvidencia,Autor,Revista,FechaPublicacion,TipoDocumento,Citaciones,DOI,OpenAlexID,SemanticScholarID,Enlace,PalabrasClave,FechaCaptura
"10.29121/shodhkosh.v6.i5s.2025.6910","Crossref","generative ai education","GENERATIVE AI FOR MULTICULTURAL MUSIC EDUCATION","generative ai for multicultural music education","Generative Artificial Intelligence is quickly transforming music education with the ability to create new creative experiences, opportunities of cultural interaction, and tailored learning. In this paper, the authors explain how to design and implement a Generative AI framework on multicultural music education to assist in preserving, exploring, and pedagogically integrating various musical traditions. The proposed approach is based on ethnomusicology and cross-cultural learning theory, and it presents the models of symbolic, audio, and multimodal musical presentation to reflect the rhythm, melody, timbre, structure, and culturally specific motifs. A cultural conditioning layer is added to make the generative models move towards stylistic authenticity to avoid the homogenization process, instead promoting creative diversity. The model combines architectures created with transformers with carefully curated and ethically sourced datasets inferred with cultural context, performance practice and expressive intent. Methodologically, the paper describes the data preprocessing pipelines and style adaptation mechanisms as well as evaluation protocols which are an extension of the quantitative measures of motif similarity and tonal coherence measures with qualitative measures of cultural fidelity, creativity and perception by learners. Findings suggest that AI-generated compositions, when transparently created and pedagogically mediated can help increase the engagement of learners, their intercultural knowledge, and their confidence in their creative abilities without jeopardizing the conventional teaching.","generative artificial intelligence is quickly transforming music education with the ability to create new creative experiences opportunities of cultural interaction and tailored learning in this paper the authors explain how to design and implement a generative ai framework on multicultural music education to assist in preserving exploring and pedagogically integrating various musical traditions the proposed approach is based on ethnomusicology and cross cultural learning theory and it presents the models of symbolic audio and multimodal musical presentation to reflect the rhythm melody timbre structure and culturally specific motifs a cultural conditioning layer is added to make the generative models move towards stylistic authenticity to avoid the homogenization process instead promoting creative diversity the model combines architectures created with transformers with carefully curated and ethically sourced datasets inferred with cultural context performance practice and expressive intent methodologically the paper describes the data preprocessing pipelines and style adaptation mechanisms as well as evaluation protocols which are an extension of the quantitative measures of motif similarity and tonal coherence measures with qualitative measures of cultural fidelity creativity and perception by learners findings suggest that ai generated compositions when transparently created and pedagogically mediated can help increase the engagement of learners their intercultural knowledge and their confidence in their creative abilities without jeopardizing the conventional teaching","GENERATIVE AI FOR MULTICULTURAL MUSIC EDUCATION. Generative Artificial Intelligence is quickly transforming music education with the ability to create new creative experiences, opportunities of cultural interaction, and tailored learning. In this paper, the authors explain how to design and implement a Generative AI framework on multicultural music education to assist in prese…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Revisar pertinencia metodológica y usar como referencia complementaria.","Educación","Medio","Vaibhav Kaushik, Ananta Narayana, Dayal Singh Satha, Joshila Grace, R. Elankavi, Gajanan Chavan","ShodhKosh: Journal of Visual and Performing Arts","2025","journal-article","","10.29121/shodhkosh.v6.i5s.2025.6910","","","https://doi.org/10.29121/shodhkosh.v6.i5s.2025.6910","generative, multicultural, music, education","2026-07-29T00:40:36.754Z"
"10.35629/5252-0611615620","Crossref","generative ai education","Survey on Generative AI in Education","survey on generative ai in education","This paper explores how large language models are being used in educational institutions, after which it goes on to examine their applications, challenges, and ethical implications. By synthesizing recent insights, the paper will delve into LLM text clustering, customization of higher education, and personalized learning. The presence of generative AI tools, such as ChatGPT, will transform the arena of research efficiency and adaptive learning. However, issues related to privacy, data security, and ethics such as algorithmic bias are still present and have to be sorted out. The paper presents suggestions for the responsible integration of LLMs into learning structures to nullify risk issues that may pose a threat to augmenting positive learning outcomes.","this paper explores how large language models are being used in educational institutions after which it goes on to examine their applications challenges and ethical implications by synthesizing recent insights the paper will delve into llm text clustering customization of higher education and personalized learning the presence of generative ai tools such as chatgpt will transform the arena of research efficiency and adaptive learning however issues related to privacy data security and ethics such as algorithmic bias are still present and have to be sorted out the paper presents suggestions for the responsible integration of llms into learning structures to nullify risk issues that may pose a threat to augmenting positive learning outcomes","Survey on Generative AI in Education. This paper explores how large language models are being used in educational institutions, after which it goes on to examine their applications, challenges, and ethical implications. By synthesizing recent insights, the paper will delve into LLM text clustering, customization of higher education, and personalized learning. The presence of g…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Revisar pertinencia metodológica y usar como referencia complementaria.","Educación","Medio","Mohammed Hisham, Nandana Vinod, Diana Liz Kuriakose, Maria Joshy Maria Joshy, Syama S Syama S","International Journal of Advances in Engineering and Management","2024","journal-article","","10.35629/5252-0611615620","","","https://doi.org/10.35629/5252-0611615620","survey, generative, education","2026-07-29T00:40:36.754Z"
"10.65106/apubs.2025.2657","Crossref","generative ai education","Navigating generative AI in higher education","navigating generative ai in higher education","The rapid emergence of generative AI (GenAI) in higher education offers transformative opportunities but also significant pedagogical and ethical challenges. Unlike coordinated institutional responses to COVID-19, GenAI adoption has been slower and more fragmented, often relying on individual educators navigating an ambiguous institutional landscape without clear guidance. This preliminary qualitative study introduces a five-stage decision-making framework, developed from a thematic literature review and interviews with early GenAI adopters across all six faculties at a large research-intensive university. The framework foregrounds reflective practice, ethical considerations, educator identity, and AI literacy as key factors shaping context-sensitive decisions about GenAI integration. Preliminary findings highlight the critical influence of institutional culture and leadership on educator practice. They also underscore the need for explicit institutional ethics frameworks that address data privacy, algorithmic bias, and pedagogical integrity. The model offers a practical, staged approach to support thoughtful decision-making, with broader applicability for informing institutional policy and guiding faculty-level strategy in this evolving context.","the rapid emergence of generative ai genai in higher education offers transformative opportunities but also significant pedagogical and ethical challenges unlike coordinated institutional responses to covid 19 genai adoption has been slower and more fragmented often relying on individual educators navigating an ambiguous institutional landscape without clear guidance this preliminary qualitative study introduces a five stage decision making framework developed from a thematic literature review and interviews with early genai adopters across all six faculties at a large research intensive university the framework foregrounds reflective practice ethical considerations educator identity and ai literacy as key factors shaping context sensitive decisions about genai integration preliminary findings highlight the critical influence of institutional culture and leadership on educator practice they also underscore the need for explicit institutional ethics frameworks that address data privacy algorithmic bias and pedagogical integrity the model offers a practical staged approach to support thoughtful decision making with broader applicability for informing institutional policy and guiding faculty level strategy in this evolving context","Navigating generative AI in higher education. The rapid emergence of generative AI (GenAI) in higher education offers transformative opportunities but also significant pedagogical and ethical challenges. Unlike coordinated institutional responses to COVID-19, GenAI adoption has been slower and more fragmented, often relying on individual educators navigating an ambiguous insti…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Revisar pertinencia metodológica y usar como referencia complementaria.","Educación","Medio","Karl McGuirk","ASCILITE Publications","2025","journal-article","","10.65106/apubs.2025.2657","","","https://doi.org/10.65106/apubs.2025.2657","navigating, generative, higher, education","2026-07-29T00:40:36.754Z"
"10.4018/jgim.402747","Crossref","generative ai education","Generative AI Integration in Entrepreneurship Education","generative ai integration in entrepreneurship education","Generative AI holds promise for venture-creation curricula, yet faculty adoption remains hindered by poorly understood incentives and barriers. This study employs a three-stage mixed-methods design to clarify those drivers. A systematic review identified 28 factors, refined by expert panel to 16 key variables. A fuzzy-DEMATEL survey revealed that faculty training, institutional support, and curricular integration exert the strongest causal influence. Clustering these factors yields three intervention domains—pedagogical, organizational, and technological—suggesting a phased adoption strategy. This framework shifts focus from tool access to educator-led implementation, offering academic leaders an evidence-based roadmap for cost-effective AI integration.","generative ai holds promise for venture creation curricula yet faculty adoption remains hindered by poorly understood incentives and barriers this study employs a three stage mixed methods design to clarify those drivers a systematic review identified 28 factors refined by expert panel to 16 key variables a fuzzy dematel survey revealed that faculty training institutional support and curricular integration exert the strongest causal influence clustering these factors yields three intervention domains pedagogical organizational and technological suggesting a phased adoption strategy this framework shifts focus from tool access to educator led implementation offering academic leaders an evidence based roadmap for cost effective ai integration","Generative AI Integration in Entrepreneurship Education. Generative AI holds promise for venture-creation curricula, yet faculty adoption remains hindered by poorly understood incentives and barriers. This study employs a three-stage mixed-methods design to clarify those drivers. A systematic review identified 28 factors, refined by expert panel to 16 key variables. A fuzzy-DE…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Priorizar para revisión detallada y posible citación en marcos teóricos o estados del arte.","Educación","Alto","Intesar Almugren, Abhishek Bhushan Singhal, Rekha Attri, Gábor Szabó-Szentgróti, Armando Papa","Journal of Global Information Management","2026","journal-article","","10.4018/jgim.402747","","","https://doi.org/10.4018/jgim.402747","generative, integration, entrepreneurship, education","2026-07-29T00:40:36.754Z"
"10.59175/pijed.v4i2.727","Crossref","generative ai education","AI-Driven LMS: Enhancing Mathematics Education through Generative AI","ai driven lms enhancing mathematics education through generative ai","This research project is expected to develop and test an AI-based Learning Management System (LMS) contents which can promote Self-regulated learning (SRL) with secondary school mathematics students. Considering that conventional LMS have shortcomings in relation to adaptive learning, and given the increasing significance of SRL, this study bridges that gap by proposing new AI-based LMS for mathematics at high school level. Utilizing a Research and Development model combined with an embedding quasi-experiment design of 94 students, the project developed AI-enhanced LMS-based content that included; personalization, adaptive difficulty, AI tutor intervention, and asynchronous administration. The findings reveal that the AI-based LMS content was effective on math students N-Gain scores compared to traditional instruction learning but with small effect sizes. In addition, students employed the AI LMS at moderate-high SRL levels in most of its components (i.e., goal setting, self-evaluation and help seeking). What is new in this work is the development per se (using AI) of LMS content for mathematics to help support SRL, while also taking into account multi-device and user-friendly considerations. Operationally, this AI-LMS system provides a student-centric and flexible learning environment that can help students develop self-regulation of learning to promote engagement and achievement in mathematics. The unique contribution of this study is a validated AI-oriented LMS model that closes the distance between AI promise and SRL requirements in secondary mathematics education.","this research project is expected to develop and test an ai based learning management system lms contents which can promote self regulated learning srl with secondary school mathematics students considering that conventional lms have shortcomings in relation to adaptive learning and given the increasing significance of srl this study bridges that gap by proposing new ai based lms for mathematics at high school level utilizing a research and development model combined with an embedding quasi experiment design of 94 students the project developed ai enhanced lms based content that included personalization adaptive difficulty ai tutor intervention and asynchronous administration the findings reveal that the ai based lms content was effective on math students n gain scores compared to traditional instruction learning but with small effect sizes in addition students employed the ai lms at moderate high srl levels in most of its components i e goal setting self evaluation and help seeking what is new in this work is the development per se using ai of lms content for mathematics to help support srl while also taking into account multi device and user friendly considerations operationally this ai lms system provides a student centric and flexible learning environment that can help students develop self regulation of learning to promote engagement and achievement in mathematics the unique contribution of this study is a validated ai oriented lms model that closes the distance between ai promise and srl requirements in secondary mathematics education","AI-Driven LMS: Enhancing Mathematics Education through Generative AI. This research project is expected to develop and test an AI-based Learning Management System (LMS) contents which can promote Self-regulated learning (SRL) with secondary school mathematics students. Considering that conventional LMS have shortcomings in relation to adaptive learning, and given the increasin…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Revisar pertinencia metodológica y usar como referencia complementaria.","Educación","Medio","Agus Arifin, Heni Pujiastuti, Hepsi Nindiasari","PPSDP International Journal of Education","2025","journal-article","","10.59175/pijed.v4i2.727","","","https://doi.org/10.59175/pijed.v4i2.727","driven, enhancing, mathematics, education, through, generative","2026-07-29T00:40:36.754Z"
"10.31489/3135-2316/2026-1-1/37-42","Crossref","generative ai education","Language Education Potential of Generative AI Chatbots","language education potential of generative ai chatbots","This study systematically delineates the linguodidactic properties of generative AI chatbots as transformative instruments in foreign language pedagogy, synthesizing theoretical frameworks, literature reviews, and em- pirical precedents to propose their integration in foreign language teaching. The aim of the article is to identi- fy the language education potential of chatbots as educational tools, provide scientific justification and pro- pose a methodology to integrate them into foreign language teaching. Employing qualitative content analysis of over 20 peer-reviewed sources alongside prompt-engineering experiments with models like ChatGPT, the research identifies seven core properties: (1) role-playing simulation via reinforcement learning; (2) interac- tivity across six feedback modalities (educational-social, evaluative, etc.); (3) nonlinear processing enabling adaptivity to learner proficiency; (4) instant error remediation; (5) multimodal delivery unbound by spatio- temporal constraints; (6) device-agnostic accessibility; and (7) low-anxiety environments fostering motivation and autonomy. These affordances address persistent challenges in communicative competence, such as lim- ited practice and fossilization, and outperforming traditional tools in dialogic immersion and personalization. A novel three-phase methodology is advanced: input/role assignment, contextual practice (debates/role- plays), and teacher-controlled refinement. Despite limitations like misinformation risks, chatbots position as co-agents in the “learner – AI – teacher” triad, promising scalable ELT efficacy.","this study systematically delineates the linguodidactic properties of generative ai chatbots as transformative instruments in foreign language pedagogy synthesizing theoretical frameworks literature reviews and em pirical precedents to propose their integration in foreign language teaching the aim of the article is to identi fy the language education potential of chatbots as educational tools provide scientific justification and pro pose a methodology to integrate them into foreign language teaching employing qualitative content analysis of over 20 peer reviewed sources alongside prompt engineering experiments with models like chatgpt the research identifies seven core properties 1 role playing simulation via reinforcement learning 2 interac tivity across six feedback modalities educational social evaluative etc 3 nonlinear processing enabling adaptivity to learner proficiency 4 instant error remediation 5 multimodal delivery unbound by spatio temporal constraints 6 device agnostic accessibility and 7 low anxiety environments fostering motivation and autonomy these affordances address persistent challenges in communicative competence such as lim ited practice and fossilization and outperforming traditional tools in dialogic immersion and personalization a novel three phase methodology is advanced input role assignment contextual practice debates role plays and teacher controlled refinement despite limitations like misinformation risks chatbots position as co agents in the learner ai teacher triad promising scalable elt efficacy","Language Education Potential of Generative AI Chatbots. This study systematically delineates the linguodidactic properties of generative AI chatbots as transformative instruments in foreign language pedagogy, synthesizing theoretical frameworks, literature reviews, and em- pirical precedents to propose their integration in foreign language teaching. The aim of the article is t…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Revisar pertinencia metodológica y usar como referencia complementaria.","Educación","Medio","Polina Lobeeva","Buketov Language Review","2026","journal-article","","10.31489/3135-2316/2026-1-1/37-42","","","https://doi.org/10.31489/3135-2316/2026-1-1/37-42","language, education, potential, generative, chatbots","2026-07-29T00:40:36.754Z"
"10.1080/10382046.2025.2555185","Crossref","generative ai education","Mitigating generative AI hallucinations in geographical education","mitigating generative ai hallucinations in geographical education","Sin resumen disponible","","Mitigating generative AI hallucinations in geographical education. Registro recuperado desde Crossref sin resumen disponible.","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Validar contenido antes de incorporarlo como referencia principal.","Educación","Base","Rod Lane","International Research in Geographical and Environmental Education","2025","journal-article","","10.1080/10382046.2025.2555185","","","https://doi.org/10.1080/10382046.2025.2555185","mitigating, generative, hallucinations, geographical, education","2026-07-29T00:40:36.754Z"
"10.34190/icair.4.1.3155","Crossref","generative ai education","Generative AI and the End of Education","generative ai and the end of education","This paper reviews the prevalent rise of generative artificial intelligence and its impact on HE in the UK. In doing so, it echoes a central thought from Neil Postman's provocatively named book which reflects on the nature and purposes of education. Whilst GenAI may be approached with a constructivist disposition, much of the response in practice and policy is marked by technological determinism. A constructivist approach, however, allows us to (re)consider the nature and value of education. The paper therefore maintains the angle of the educator in asking: what are we trying to do in (higher) education? What is the purpose of Higher Education today? This is a cross-disciplinary question, much like Postman’s propositions were a cross-curricular reflection on the nature of schooling. Postman looked for a unifying narrative that can inspire ‘the ends of education’, or what education actually is and tries to accomplish, before considering its tools and approaches towards those goals. Those ends ensure that education does not become subjected to the false gods, such as economic utility and consumerism. These would spell the demise of any meaningful education, or ‘the end of education’. What appears foundational to these questions is a belief in the nature of human potential. In education, the cultivation of that potential is arguably a fundamental end, whichever way education is organised. Where the cultivation of that potential leads, however, can remain rooted in a humanist framework, it could become posthumanist, or it could be simply bewildering. With the means of generative AI, the analysis raises questions on epistemic threat versus intellectual success, and new horizons of creative possibility in human-computer interaction. The human potentiality of thinking, interpreting, criticality, and scepticism, come forward as retained elements of the humanist narrative. In the dawn of generative AI as a teaching, learning, and assessment instrument, the end of education remains human potential. Higher Education especially, remains the place to critically and ethically stimulate the human mind towards new horizons of knowing.","this paper reviews the prevalent rise of generative artificial intelligence and its impact on he in the uk in doing so it echoes a central thought from neil postman s provocatively named book which reflects on the nature and purposes of education whilst genai may be approached with a constructivist disposition much of the response in practice and policy is marked by technological determinism a constructivist approach however allows us to re consider the nature and value of education the paper therefore maintains the angle of the educator in asking what are we trying to do in higher education what is the purpose of higher education today this is a cross disciplinary question much like postman s propositions were a cross curricular reflection on the nature of schooling postman looked for a unifying narrative that can inspire the ends of education or what education actually is and tries to accomplish before considering its tools and approaches towards those goals those ends ensure that education does not become subjected to the false gods such as economic utility and consumerism these would spell the demise of any meaningful education or the end of education what appears foundational to these questions is a belief in the nature of human potential in education the cultivation of that potential is arguably a fundamental end whichever way education is organised where the cultivation of that potential leads however can remain rooted in a humanist framework it could become posthumanist or it could be simply bewildering with the means of generative ai the analysis raises questions on epistemic threat versus intellectual success and new horizons of creative possibility in human computer interaction the human potentiality of thinking interpreting criticality and scepticism come forward as retained elements of the humanist narrative in the dawn of generative ai as a teaching learning and assessment instrument the end of education remains human potential higher education especially remains the place to critically and ethically stimulate the human mind towards new horizons of knowing","Generative AI and the End of Education. This paper reviews the prevalent rise of generative artificial intelligence and its impact on HE in the UK. In doing so, it echoes a central thought from Neil Postman's provocatively named book which reflects on the nature and purposes of education. Whilst GenAI may be approached with a constructivist disposition, much of the response in…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Revisar pertinencia metodológica y usar como referencia complementaria.","Educación","Medio","Stockman","International Conference on AI Research","2024","journal-article","","10.34190/icair.4.1.3155","","","https://doi.org/10.34190/icair.4.1.3155","generative, education","2026-07-29T00:40:36.754Z"
"10.1080/1554480x.2025.2610058","Crossref","generative ai education","Generative AI Technologies, Multiliteracies, and Language Education","generative ai technologies multiliteracies and language education","Sin resumen disponible","","Generative AI Technologies, Multiliteracies, and Language Education. Registro recuperado desde Crossref sin resumen disponible.","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Validar contenido antes de incorporarlo como referencia principal.","Educación","Base","Mark Jun Hao Tan, Katy Asem","Pedagogies: An International Journal","2025","journal-article","","10.1080/1554480x.2025.2610058","","","https://doi.org/10.1080/1554480x.2025.2610058","generative, technologies, multiliteracies, language, education","2026-07-29T00:40:36.754Z"
"10.18848/1832-3669/cgp/a1028","Crossref","generative ai education","Transforming Higher Education Teaching with Generative AI","transforming higher education teaching with generative ai","&lt;p&gt;Humanity is undergoing a disruptive cultural transition driven by the rapid integration of disruptive technologies. Among these, Generative Artificial Intelligence (GenAI) has emerged as a cross-cutting force; however, its rapid adoption often fosters technological opportunism, where data is processed without sufficient intellectual supervision. In higher education, this environment demands a shift toward a more legitimate integration of GenAI,&lt;span style=""color: rgb(1, 0, 0);""&gt; one &lt;/span&gt;that moves beyond passive consumption to bridge the gap between information management, knowledge management, and knowledge mobilization. To address this, this research adopts a critical hermeneutic paradigm and a narrative review methodology to systematically identify, select, and extract key empirical and conceptual patterns from the literature. By interpreting these patterns within contemporary social and cultural contexts, the study seeks to evolve teaching practices so that existing knowledge serves as a starting point for connecting theory and practice with the realm of the possible to be known. The main outcome of this article is an innovative model for knowledge management and mobilization in higher education, positioning GenAI as a mediating tool present in the reconfiguration of teaching practices and enhancing the transfer of knowledge. This framework provides the conceptual and practical foundations to ensure that GenAI serves as a facilitator for meaningful learning rather than a mere procedural substitute.&lt;/p&gt;","lt p gt humanity is undergoing a disruptive cultural transition driven by the rapid integration of disruptive technologies among these generative artificial intelligence genai has emerged as a cross cutting force however its rapid adoption often fosters technological opportunism where data is processed without sufficient intellectual supervision in higher education this environment demands a shift toward a more legitimate integration of genai lt span style color rgb 1 0 0 gt one lt span gt that moves beyond passive consumption to bridge the gap between information management knowledge management and knowledge mobilization to address this this research adopts a critical hermeneutic paradigm and a narrative review methodology to systematically identify select and extract key empirical and conceptual patterns from the literature by interpreting these patterns within contemporary social and cultural contexts the study seeks to evolve teaching practices so that existing knowledge serves as a starting point for connecting theory and practice with the realm of the possible to be known the main outcome of this article is an innovative model for knowledge management and mobilization in higher education positioning genai as a mediating tool present in the reconfiguration of teaching practices and enhancing the transfer of knowledge this framework provides the conceptual and practical foundations to ensure that genai serves as a facilitator for meaningful learning rather than a mere procedural substitute lt p gt","Transforming Higher Education Teaching with Generative AI. &lt;p&gt;Humanity is undergoing a disruptive cultural transition driven by the rapid integration of disruptive technologies. Among these, Generative Artificial Intelligence (GenAI) has emerged as a cross-cutting force; however, its rapid adoption often fosters technological opportunism, where data is processed without…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Revisar pertinencia metodológica y usar como referencia complementaria.","Educación","Medio","Marcelo Careaga Butter, Eileen Sepúlveda-Valenzuela, Laura Jiménez-Pérez, María Badilla-Quintana, Carolina Fuentes-Henríquez, Andres Seguel-Arriagada","The International Journal of Technology, Knowledge, and Society","2026","journal-article","","10.18848/1832-3669/cgp/a1028","","","https://doi.org/10.18848/1832-3669/cgp/a1028","transforming, higher, education, teaching, with, generative","2026-07-29T00:40:36.754Z"
"10.1186/s41239-023-00411-8","OpenAlex","generative ai education","Students’ voices on generative AI: perceptions, benefits, and challenges in higher education","students voices on generative ai perceptions benefits and challenges in higher education","Abstract This study explores university students’ perceptions of generative AI (GenAI) technologies, such as ChatGPT, in higher education, focusing on familiarity, their willingness to engage, potential benefits and challenges, and effective integration. A survey of 399 undergraduate and postgraduate students from various disciplines in Hong Kong revealed a generally positive attitude towards GenAI in teaching and learning. Students recognized the potential for personalized learning support, writing and brainstorming assistance, and research and analysis capabilities. However, concerns about accuracy, privacy, ethical issues, and the impact on personal development, career prospects, and societal values were also expressed. According to John Biggs’ 3P model, student perceptions significantly influence learning approaches and outcomes. By understanding students’ perceptions, educators and policymakers can tailor GenAI technologies to address needs and concerns while promoting effective learning outcomes. Insights from this study can inform policy development around the integration of GenAI technologies into higher education. By understanding students’ perceptions and addressing their concerns, policymakers can create well-informed guidelines and strategies for the responsible and effective implementation of GenAI tools, ultimately enhancing teaching and learning experiences in higher education.","abstract this study explores university students perceptions of generative ai genai technologies such as chatgpt in higher education focusing on familiarity their willingness to engage potential benefits and challenges and effective integration a survey of 399 undergraduate and postgraduate students from various disciplines in hong kong revealed a generally positive attitude towards genai in teaching and learning students recognized the potential for personalized learning support writing and brainstorming assistance and research and analysis capabilities however concerns about accuracy privacy ethical issues and the impact on personal development career prospects and societal values were also expressed according to john biggs 3p model student perceptions significantly influence learning approaches and outcomes by understanding students perceptions educators and policymakers can tailor genai technologies to address needs and concerns while promoting effective learning outcomes insights from this study can inform policy development around the integration of genai technologies into higher education by understanding students perceptions and addressing their concerns policymakers can create well informed guidelines and strategies for the responsible and effective implementation of genai tools ultimately enhancing teaching and learning experiences in higher education","Students’ voices on generative AI: perceptions, benefits, and challenges in higher education. Abstract This study explores university students’ perceptions of generative AI (GenAI) technologies, such as ChatGPT, in higher education, focusing on familiarity, their willingness to engage, potential benefits and challenges, and effective integration. A survey of 399 undergraduate…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Revisar pertinencia metodológica y usar como referencia complementaria.","Educación","Medio","Cecilia Ka Yuk Chan, Wenjie Hu","International Journal of Educational Technology in Higher Education","2023","article","1935","10.1186/s41239-023-00411-8","https://openalex.org/W4384464487","","https://doi.org/10.1186/s41239-023-00411-8","students, voices, generative, perceptions, benefits, challenges, higher, education","2026-07-29T00:40:36.754Z"
"10.61969/jai.1337500","OpenAlex","generative ai education","Education in the Era of Generative Artificial Intelligence (AI): Understanding the Potential Benefits of ChatGPT in Promoting Teaching and Learning","education in the era of generative artificial intelligence ai understanding the potential benefits of chatgpt in promoting teaching and learning","Since its maiden release into the public domain on November 30, 2022, ChatGPT garnered more than one million subscribers within a week. The generative AI tool ⎼ChatGPT took the world by surprise with it sophisticated capacity to carry out remarkably complex tasks. The extraordinary abilities of ChatGPT to perform complex tasks within the field of education has caused mixed feelings among educators, as this advancement in AI seems to revolutionize existing educational praxis. This is an exploratory study that synthesizes recent extant literature to offer some potential benefits and drawbacks of ChatGPT in promoting teaching and learning. Benefits of ChatGPT include but are not limited to promotion of personalized and interactive learning, generating prompts for formative assessment activities that provide ongoing feedback to inform teaching and learning etc. The paper also highlights some inherent limitations in the ChatGPT such as generating wrong information, biases in data training, which may augment existing biases, privacy issues etc. The study offers recommendations on how ChatGPT could be leveraged to maximize teaching and learning. Policy makers, researchers, educators and technology experts could work together and start conversations on how these evolving generative AI tools could be used safely and constructively to improve education and support students’ learning.","since its maiden release into the public domain on november 30 2022 chatgpt garnered more than one million subscribers within a week the generative ai tool chatgpt took the world by surprise with it sophisticated capacity to carry out remarkably complex tasks the extraordinary abilities of chatgpt to perform complex tasks within the field of education has caused mixed feelings among educators as this advancement in ai seems to revolutionize existing educational praxis this is an exploratory study that synthesizes recent extant literature to offer some potential benefits and drawbacks of chatgpt in promoting teaching and learning benefits of chatgpt include but are not limited to promotion of personalized and interactive learning generating prompts for formative assessment activities that provide ongoing feedback to inform teaching and learning etc the paper also highlights some inherent limitations in the chatgpt such as generating wrong information biases in data training which may augment existing biases privacy issues etc the study offers recommendations on how chatgpt could be leveraged to maximize teaching and learning policy makers researchers educators and technology experts could work together and start conversations on how these evolving generative ai tools could be used safely and constructively to improve education and support students learning","Education in the Era of Generative Artificial Intelligence (AI): Understanding the Potential Benefits of ChatGPT in Promoting Teaching and Learning. Since its maiden release into the public domain on November 30, 2022, ChatGPT garnered more than one million subscribers within a week. The generative AI tool ⎼ChatGPT took the world by surprise with it sophisticated capacity to c…","Aplicable a innovación docente, rediseño curricular, integración de IA en la enseñanza y apoyo a procesos de aprendizaje.","Validar contenido antes de incorporarlo como referencia principal.","Educación","Base","David Baidoo-Anu, Leticia Owusu Ansah","Journal of AI","2023","article","1666","10.61969/jai.1337500","https://openalex.org/W4389437528","","https://doi.org/10.61969/jai.1337500","education, generative, artificial, intelligence, understanding, potential, benefits, chatgpt","2026-07-29T00:40:36.754Z"
